¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéÐ÷±êÇ©
cut_result0181121_j2c14_math_8,00:00:00,0,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:00:10,1,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:00:20,2,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:00:30,3,surprised-¾ªÑÈ
cut_result0181121_j2c14_math_8,00:00:40,4,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:00:50,5,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:01:00,6,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:01:10,7,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:01:20,8,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:01:30,9,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:01:40,10,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:01:50,11,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:02:00,12,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:02:10,13,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:02:20,14,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:02:30,15,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:02:40,16,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:02:50,17,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:03:00,18,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:03:10,19,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:03:20,20,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:03:30,21,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:03:40,22,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:03:50,23,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:04:00,24,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:04:10,25,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:04:20,26,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:04:30,27,surprised-¾ªÑÈ
cut_result0181121_j2c14_math_8,00:04:40,28,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:04:50,29,TS-Ê¦Éú»¥¶¯
cut_result0181121_j2c14_math_8,00:05:00,30,TS-Ê¦Éú»¥¶¯
cut_result0181121_j2c14_math_8,00:05:10,31,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:05:20,32,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:05:30,33,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:05:40,34,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:05:50,35,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:06:00,36,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:06:10,37,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:06:20,38,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:06:30,39,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:06:40,40,surprised-¾ªÑÈ
cut_result0181121_j2c14_math_8,00:06:50,41,surprised-¾ªÑÈ
cut_result0181121_j2c14_math_8,00:07:00,42,surprised-¾ªÑÈ
cut_result0181121_j2c14_math_8,00:07:10,43,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:07:20,44,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:07:30,45,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:07:40,46,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:07:50,47,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:08:00,48,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:08:10,49,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:08:20,50,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:08:30,51,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:08:40,52,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:08:50,53,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:09:00,54,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:09:10,55,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:09:20,56,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:09:30,57,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:09:40,58,TS-Ê¦Éú»¥¶¯
cut_result0181121_j2c14_math_8,00:09:50,59,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:10:00,60,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:10:10,61,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:10:20,62,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:10:30,63,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:10:40,64,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:10:50,65,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:11:00,66,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:11:10,67,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:11:20,68,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:11:30,69,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:11:40,70,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:11:50,71,happy-Ï²ÔÃ
cut_result0181121_j2c14_math_8,00:12:00,72,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:12:10,73,Delate-É¾³ýµÄ
cut_result0181121_j2c14_math_8,00:12:20,74,disgust-Ñá¶ñÃïÊÓ
cut_result0181121_j2c14_math_8,00:12:30,75,Delate-É¾³ýµÄ
