¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéĞ÷±êÇ©
cut_result0181122_s2c1_math_7,00:00:00,0,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:00:10,1,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:00:20,2,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:00:30,3,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:00:40,4,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:00:50,5,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:01:00,6,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:01:10,7,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:01:20,8,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:01:30,9,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:01:40,10,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:01:50,11,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:02:00,12,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:02:10,13,TS-Ê¦Éú»¥¶¯
cut_result0181122_s2c1_math_7,00:02:20,14,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:02:30,15,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:02:40,16,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:02:50,17,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:03:00,18,TS-Ê¦Éú»¥¶¯
cut_result0181122_s2c1_math_7,00:03:10,19,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:03:20,20,TS-Ê¦Éú»¥¶¯
cut_result0181122_s2c1_math_7,00:03:30,21,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:03:40,22,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:03:50,23,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:04:00,24,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:04:10,25,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:04:20,26,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:04:30,27,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:04:40,28,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:04:50,29,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:05:00,30,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:05:10,31,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:05:20,32,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:05:30,33,TS-Ê¦Éú»¥¶¯
cut_result0181122_s2c1_math_7,00:05:40,34,Delate-É¾³ıµÄ
cut_result0181122_s2c1_math_7,00:05:50,35,TS-Ê¦Éú»¥¶¯
cut_result0181122_s2c1_math_7,00:06:00,36,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:06:10,37,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:06:20,38,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:06:30,39,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:06:40,40,TS-Ê¦Éú»¥¶¯
cut_result0181122_s2c1_math_7,00:06:50,41,TS-Ê¦Éú»¥¶¯
cut_result0181122_s2c1_math_7,00:07:00,42,TS-Ê¦Éú»¥¶¯
cut_result0181122_s2c1_math_7,00:07:10,43,TS-Ê¦Éú»¥¶¯
cut_result0181122_s2c1_math_7,00:07:20,44,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:07:30,45,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:07:40,46,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:07:50,47,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:08:00,48,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:08:10,49,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:08:20,50,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:08:30,51,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:08:40,52,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:08:50,53,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:09:00,54,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:09:10,55,happy-Ï²ÔÃ
cut_result0181122_s2c1_math_7,00:09:20,56,happy-Ï²ÔÃ
